data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
16/01/2010;11:05:00;31;sem vitima;519,9;BR-116/RS;Norte;Saida de Pista;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0
16/01/2010;12:14:00;37;com vitima;151,9;BR-293/RS;Norte;Colisao com Objeto Fixo;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0
16/01/2010;21:43:00;87;sem vitima;84,3;BR-392/RS;Sul;Colisao Frontal;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0
16/01/2010;10:22:00;28;sem vitima;116;BR-392/RS;Norte;Saida de Pista;1;0;2;0;0;0;0;0;0;0;3;0;0;0;0
16/01/2010;10:42:00;29;com vitima;117,6;BR-392/RS;Sul;Saida de Pista;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0
17/01/2010;19:42:00;74;sem vitima;411,4;BR-116/RS;Sul;Saida de Pista;1;0;2;0;0;0;0;0;0;0;4;0;0;0;0
17/01/2010;07:39:00;16;com vitima;14,9;BR-293/RS;Norte;Abalr.Transversal;0;0;2;1;0;0;0;0;0;0;0;0;1;1;0
17/01/2010;12:06:00;29;com vitima;455,9;BR-116/RS;Norte;Colisao com Objeto Fixo;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0
17/01/2010;11:25:00;22;com vitima;26,1;BR-392/RS;Sul;Tombamento;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
17/01/2010;23:40:00;94;com vitima;29,6;BR-392/RS;Norte;Atropelamento;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
17/01/2010;03:26:00;10;sem vitima;39,4;BR-392/RS;Sul;Saida de Pista;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
18/01/2010;06:49:00;12;sem vitima;402;BR-116/RS;Sul;Atropelamento de Animal;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
